clase_original,texto_original,texto_etl,texto_corregido,id_clase,nro_palabras
no_identificada,se normalizo medidor lindero XXXXXXX estado XXXXX/XXXXX cambiando tapa y acometida.,normalizo medidor lindero estado cambiando tapa acometida, se normalizo medidor lindero estado cambiando tapa y acometida ,7,7
ok_equipo,se realizo verificacion completa se coloco caja antihurto se cambio pipeta rota energia activa: XXXXX energia reactiva: XXXXXX,realizo verificacion completa coloco caja antihurto cambio pipeta rota energia activa energia reactiva, se realizo verificacion completa se coloco caja antihurto se cambio pipeta rota energia activa energia reactiva ,6,13
intrusion,se corto conexion directa sin medidor. en pje XXX camino Y XXXX,corto conexion directo sin medidor pje camino Y, se corto conexion directa sin medidor en pje camino Y ,0,8
no_identificada,se cambio medidor monofasico y normaliza.,cambio medidor monofasico normalizo, se cambio medidor monofasico y normaliza ,7,4
intrusion,se retira conexion clandestina se normaliza suministro.,retira conexion clandestina normalizo suministro, se retira conexion clandestina se normaliza suministro ,0,5
intrusion,numerador manipulado se cambia medidor.,numerador manipulado cambio medidor, numerador manipulado se cambia medidor ,0,4
reparacion,cambio de medidor monofasico golpeado con visor roto y tapa monofasica obsoleta.,cambio medidor monofasico golpeado con visor roto tapa monofasica obsoleta, cambio de medidor monofasico golpeado con visor roto y tapa monofasica obsoleta ,1,10
intrusion,medidor manipulado fase y neutro invertidos la fase ingresaba por bornera de neutro y el neutro por bornera de fase se normalizo.,medidor manipulado fase neutro invertidos fase ingresaba bornera neutro neutro bornera fase normalizo, medidor manipulado fase y neutro invertidos la fase ingresaba por bornera de neutro y el neutro por bornera de fase se normalizo ,0,13
reparacion,se encontro medidor quemado en bornera. se normaliza colocando medidor numero XXXXXXX. se realiza inspeccion completa y se coloca tapa capilla chica. se dejo presintado.,encontro medidor quemado bornera normalizo colocando medidor numero realizo inspeccion completa coloca tapa capilla chica dejo presintado, se encontro medidor quemado en bornera se normaliza colocando medidor numero se realiza inspeccion completa y se coloca tapa capilla chica se dejo presintado ,1,17
intrusion,Se Quitó Fraude Fase X Fase. Se Normalizó El Servicio. Se Realiza Acta De Fraude.,quito fraude fase fase normalizo servicio realizo acta fraude, se quito fraude fase por fase se normalizo el servicio se realiza acta de fraude ,0,9
market,se instalo medidor monof c/cable concentrico nueva desde linea sin cruce,instalo medidor monofasico cable concentrico nueva desde linea sin cruce, se instalo medidor monofasico c cable concentrico nueva desde linea sin cruce,2,10
reparacion,se encontro medidor monofasico quemado en bornera. se cambio medidor monofasico y se adecuo con tapa y termica,encontro medidor monofasico quemado bornera cambio medidor monofasico adecuo con tapa termica, se encontro medidor monofasico quemado en bornera se cambio medidor monofasico y se adecuo con tapa y termica,1,12
intrusion,se retiro directo de linea .se dejo medidor suspendido..,retiro directo linea dejo medidor suspendido, se retiro directo de linea se dejo medidor suspendido ,0,6
intrusion,Se Encontró Medidor Monofasico Con Puente Fase A Fase. Se Retira Puente Fase A Fase Y Se Normaliza Medición. Se Realiza Acta De Fraude,encontro medidor monofasico con puente fase fase retira puente fase fase normalizo medicion realizo acta fraude, se encontro medidor monofasico con puente fase a fase se retira puente fase a fase y se normaliza medicion se realiza acta de fraude,0,16
seguridad,"medidor instalado XXXXXXXX, se cambio tapa y termica monofasico",medidor instalado cambio tapa termica monofasico, medidor instalado se cambio tapa y termica monofasico,5,6
