clase_original,texto_original,texto_etl,texto_corregido,id_clase
ok_equipo,Se encontro normal se cambio tapa rectangular chica,encontro normal cambio tapa rectangular chica, se encontro normal se cambio tapa rectangular chica,6
ok_equipo,A garita le pasan suministro desde vivienda. Empleado aduce que no puede tomar esa decisión y hacerse cargo. Jefe del mismo no le atendió su llamado.,garita pasan suministro desde vivienda empleado aduce no puede tomar decision hacerse cargo mismo no atendio llamado, a garita le pasan suministro desde vivienda empleado aduce que no puede tomar esa decision y hacerse cargo jefe del mismo no le atendio su llamado ,6
seguridad,Se verifico instalacion y carga del medidor sin anomalias. se cambio tapa plastica por rota y opaca.. se adecuo.,verifico instalacion carga medidor sin anomalia cambio tapa plastica rota opaca adecuo, se verifico instalacion y carga del medidor sin anomalias se cambio tapa plastica por rota y opaca se adecuo ,5
reparacion,Se cargó por segunda vez a womSe cambio medidor por sistema móvil trabado a causa se inundó la sala de medidores y afecto a varios se normaliza todos los afectados,cargo segunda vez womse cambio medidor sistema trabado causa inundo sala medidor afecto varios normalizo afectados, se cargo por segunda vez a womse cambio medidor por sistema movil trabado a causa se inundo la sala de medidores y afecto a varios se normaliza todos los afectados,1
sin_tarea,"Nombre:retamar
Movil:470
Legajo ayudante:14091",sin determinar, nombre retamar movil legajo ayudante ,7
sin_tarea,si,sin determinar, si,7
seguridad,Se verificó suministros normal sin anomalías se verificó funcionamiento normal del medidor.se trata de una vivienda deshabitada,verifico suministros normal sin anomalia verifico funcionamiento normal medidor trata vivienda deshabitada, se verifico suministros normal sin anomalias se verifico funcionamiento normal del medidor se trata de una vivienda deshabitada,5
ok_equipo,Medidor general de edificio normal. No se observan anomalías ni suministro a terceros.,medidor general edificio normal no observan anomalia ni suministro tercero, medidor general de edificio normal no se observan anomalias ni suministro a terceros ,6
intrusion,"Operativo centro 
Se verifico medidor con fraude se cortó derivación clandestina y se normaliso SVP 
Se cambió medidor por puentes de excitación quemados y cortados 
Se comoco medidor 17436882
Se cambió acometida pinchadaColocación de caja antiurto y acometida pinchada",operativo centro verifico medidor con fraude corto derivacion clandestina normalizo seguridad via publica cambio medidor puentes excitacion quemados cortado comoco medidor cambio acometida pinchadacolocacion caja antihurto acometida pinchada, operativo centro se verifico medidor con fraude se corto derivacion clandestina y se normalizo svp se cambio medidor por puentes de excitacion quemados y cortados se comoco medidor se cambio acometida pinchadacolocacion de caja antihurto y acometida pinchada,0
ok_equipo,Sin anomalías.,sin anomalia, sin anomalias ,6
intrusion,Se realiza instalación de medidor monofasico cliente manifiesta que se lo robaron y tiene un plan de pagos activo se retira directo de lineaSe instala caja trampa,realizo instalacion medidor monofasico cliente manifiesta robaron tiene plan pagos activo retira directo linease instala caja trampa, se realiza instalacion de medidor monofasico cliente manifiesta que se lo robaron y tiene un plan de pagos activo se retira directo de linease instala caja trampa,0
reparacion,Tapa rota,tapa rota, tapa rota,1
intrusion,Fraude  clandestino en el habitáculoSe retira conexión clandestina,fraude clandestina habitaculose retira conexion clandestina, fraude clandestino en el habitaculose retira conexion clandestina,0
ok_equipo,Se verifica medidor sin anomalias,verifico medidor sin anomalia, se verifica medidor sin anomalias,6
ok_equipo,Falta caño de pilar,falta caño pilar, falta caño de pilar,6
ok_equipo,Medidor sin acometida caño de acometida obstruido lugar desocupado,medidor sin acometida caño acometida obstruido lugar deshabitada, medidor sin acometida caño de acometida obstruido lugar desocupado,6
ok_equipo,"Verif completa sin anomalías habitáculo lindero con directa pero sin fusible, ni carga, térmica baja.. se cortó directa",verifico completa sin anomalia habitaculo lindero con directo sin fusible ni carga termica baja corto directo, verifica completa sin anomalias habitaculo lindero con directa pero sin fusible ni carga termica baja se corto directa,6
intrusion,RehabilitadoNormalizado,rehabilitadonormalizado, rehabilitadonormalizado,0
intrusion,"Se verifico y se encontro el medidor gospeado , se cambia el medidor y se instala la caja antihurto",verifico encontro medidor gospeado cambio medidor instala caja antihurto, se verifico y se encontro el medidor gospeado se cambia el medidor y se instala la caja antihurto,0
ok_equipo,"Se realizó inspección completa, verificación in situ, cambio de tapa y verificación ocular de medidores linderos",realizo inspeccion completa verificacion interno sitio cambio tapa verificacion ocular medidor linderos, se realizo inspeccion completa verificacion interno sitio cambio de tapa y verificacion ocular de medidores linderos,6
reparacion,Se cambia medidor por pedido de la empresa. Ver fotos.Tapa,cambio medidor pedido empresa ver foto tapa, se cambia medidor por pedido de la empresa ver fotos tapa,1
reparacion,Se cambió medidor monofasico con bornera quemada. No encontró anomalías.,cambio medidor monofasico con bornera quemada no encontro anomalia, se cambio medidor monofasico con bornera quemada no encontro anomalias ,1
ok_equipo,NORMAL,normal, normal,6
reparacion,Se realizó inspección y se cambió Medidor.,realizo inspeccion cambio medidor, se realizo inspeccion y se cambio medidor ,1
ok_equipo,Sistemas R S y T con cargas insuficientes para cálculo conexionado y continuidad bien. Se colocó tapa con ventana recuperada por falta de stock.,sistemas con carga insuficientes calculo conexionado continuidad bien coloco tapa con ventana recuperada falta stock, sistemas r s y t con cargas insuficientes para calculo conexionado y continuidad bien se coloco tapa con ventana recuperada por falta de stock ,6
seguridad,TAPA. 17449352 se cambio acometida deficiente em lindero. se verifico medidor 17480484 se cambia acometida deficiente. se normalizo suministroacometida deficiente,tapa cambio acometida deficiente em lindero verifico medidor cambio acometida deficiente normalizo suministroacometida deficiente, tapa se cambio acometida deficiente em lindero se verifico medidor se cambia acometida deficiente se normalizo suministroacometida deficiente,5
intrusion,tapa rota,tapa rota, tapa rota,0
ok_equipo,En el lugar usan medidor 4487198En el lugar se encuentro medidor 4487198 cliente regularizó situación y le pusieron este medidor,lugar usan medidor lugar encontro medidor cliente regularizo situacion pusieron medidor, en el lugar usan medidor en el lugar se encontro medidor cliente regularizo situacion y le pusieron este medidor,6
intrusion,Se realizó inspección y se confeccióno acta por fraude. Medidor 539 funcionamiento fase por fase,realizo inspeccion confecciono acta fraude medidor funcionamiento fase fase, se realizo inspeccion y se confecciono acta por fraude medidor funcionamiento fase por fase,0
reparacion,"R.SIN FRAUDE.CONVENCIONAL
Se realizó verificación completa
Se precinto carcasa de medidor RW009
Se cambió tapa monofasica",sin fraude convencional realizo verificacion completa precinto carcasa medidor rw cambio tapa monofasica, r sin fraude convencional se realizo verificacion completa se precinto carcasa de medidor rw se cambio tapa monofasica,1
reparacion,Se verificó medidor monofasico con disco trabado ( se observa integridad de precintos) por falla mecanica- se cambio medidor monofasicoTapa opaca,verifico medidor monofasico con disco trabado observa integridad precinto falla mecanica cambio medidor monofasicotapa opaca, se verifico medidor monofasico con disco trabado se observa integridad de precintos por falla mecanica se cambio medidor monofasicotapa opaca,1
reparacion,"Se realizo inspección completa de medidor 784794 el mismo se encontro normal sin uso se cambio acometida deteriorada ,cambio de Marco tapa, y termomagnetica",realizo inspeccion completa medidor mismo encontro normal sin uso cambio acometida deteriorada cambio marco tapa termomagnetica, se realizo inspeccion completa de medidor el mismo se encontro normal sin uso se cambio acometida deteriorada cambio de marco tapa y termomagnetica,1
intrusion,FRAUDE,fraude, fraude,0
seguridad,"Se verif me sin tapa bornera y con carga de 0,9amp al momento de la insp. Se aplicó carga propia, med integra. Se repuso tapa y se dejo precintado. FotosTapa de bornera faltante",verifico sin tapa bornera con carga amperes momento inspeccion aplico carga propia medidor integra repuso tapa dejo precintado fotostapa bornera faltante, se verifica me sin tapa bornera y con carga de amperes al momento de la inspeccion se aplico carga propia medidor integra se repuso tapa y se dejo precintado fotostapa de bornera faltante,5
seguridad,"Se cambio tapa y se verifico med normal. 
Por tener bajada en el mismo caño compartido con vecino.tapa",cambio tapa verifico medidor normal tener bajada mismo caño compartido con vecino tapa, se cambio tapa y se verifico medidor normal por tener bajada en el mismo caño compartido con vecino tapa,5
reparacion,Se cambio 1 medidor monofasico quemado. Dejando al cliente normal,cambio medidor monofasico quemado dejando cliente normal, se cambio medidor monofasico quemado dejando al cliente normal,1
seguridad,Se cambio tapa opaca,cambio tapa opaca, se cambio tapa opaca,5
ok_equipo,Cliente informa que le toman un estimativo en el consumo cuando el medidor no tiene consumo,cliente informa toman estimativo consumo medidor no tiene consumo, cliente informa que le toman un estimativo en el consumo cuando el medidor no tiene consumo,6
intrusion,R CON FRAUDE DIME CONVENCIONAL CAJA NORMAL se encontró acometida pinchada se cambió y se dejo normalizado,con fraude dime convencional caja normal encontro acometida pinchada cambio dejo normalizado, r con fraude dime convencional caja normal se encontro acometida pinchada se cambio y se dejo normalizado,0
intrusion,CLIENTE REHABILITADO,cliente rehabilitado, cliente rehabilitado,0
ok_equipo,NORMAL,normal, normal,6
intrusion,se coloco caja de monoposte y cableado a salida de cliente,coloco caja monoposte cableado salida cliente, se coloco caja de monoposte y cableado a salida de cliente,0
ok_equipo,Normal poco consumo se coloco marco y tapa,normal poco consumo coloco marco tapa, normal poco consumo se coloco marco y tapa,6
