,Clase.Original,Clase.LSTM,Certeza.Maxima,pr.intrusion,pr.reparacion,pr.marketing,pr.visitada,pr.sin_realizar,pr.seguridad,pr.ok_equipo,pr.sin_tarea,texto
0,ok_equipo,seguridad,"0,9798311591",[0.00012207948],[0.00021804571],[0.0028395173],[0.014518757],[0.0024537675],[0.97983116],[4.9159194e-06],[1.1708999e-05],[' se encontro normal se cambio tapa rectangular chica']
1,ok_equipo,ok_equipo,"0,8102478981",[0.00023959276],[0.1845817],[0.003960853],[0.0006513458],[3.49516e-05],[0.000112277514],[0.8102479],[0.00017144982],[' a garita le pasan suministro desde vivienda empleado aduce que no puede tomar esa decision y hacerse cargo jefe del mismo no le atendio su llamado ']
2,seguridad,seguridad,"0,9169226289",[0.001510272],[0.0020169884],[0.034251485],[0.01615637],[0.028890103],[0.9169226],[9.514357e-05],[0.0001569592],[' se verifico instalacion y carga del medidor sin anomalias se cambio tapa plastica por rota y opaca se adecuo ']
3,reparacion,sin_realizar,"0,8341320157",[0.08344119],[0.019378759],[0.030196577],[0.00085101824],[0.834132],[0.02546756],[0.0050521065],[0.0014808266],[' se cargo por segunda vez a womse cambio medidor por sistema movil trabado a causa se inundo la sala de medidores y afecto a varios se normaliza todos los afectados']
4,sin_tarea,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' nombre retamar movil legajo ayudante ']
5,sin_tarea,marketing,"0,7309787869",[0.01746873],[0.02744228],[0.7309788],[0.0882449],[0.019792087],[0.02044655],[0.017657587],[0.077969044],[' si']
6,seguridad,visitada,"0,9872618318",[3.5618516e-05],[0.0006669377],[0.0039431537],[0.98726183],[1.3702217e-05],[0.008016532],[3.4641045e-05],[2.7513226e-05],[' se verifico suministros normal sin anomalias se verifico funcionamiento normal del medidor se trata de una vivienda deshabitada']
7,ok_equipo,reparacion,"0,7244698405",[0.0006491276],[0.72446984],[0.028483735],[0.20289606],[2.4223045e-05],[0.0029698997],[0.040332172],[0.00017502291],[' medidor general de edificio normal no se observan anomalias ni suministro a terceros ']
8,intrusion,intrusion,"0,9992449284",[0.9992449],[0.00014795229],[0.00016224635],[4.5177063e-07],[0.00042290438],[9.47559e-06],[8.701761e-06],[3.4453417e-06],[' operativo centro se verifico medidor con fraude se corto derivacion clandestina y se normalizo svp se cambio medidor por puentes de excitacion quemados y cortados se comoco medidor se cambio acometida pinchadacolocacion de caja antihurto y acometida pinchada']
9,ok_equipo,marketing,"0,7147020102",[0.0156512],[0.036771424],[0.714702],[0.14483665],[0.0070285997],[0.014149521],[0.015394387],[0.051466223],[' sin anomalias ']
