5,precision,recall,f1-score,support,pred,AUC
0,0.9411764705882353,0.8421052631578947,0.8888888888888888,19.0,17.0,0.9950213371266003
1,0.5882352941176471,625,0.6060606060606061,16.0,17.0,0.9356374172185431
2,0.8571428571428571,0.46153846153846156,0.6,13.0,7.0,0.791958041958042
3,0.8571428571428571,1.0,0.923076923076923,30.0,35.0,0.9922141119221412
4,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0,9.0,0.9750351617440225
5,0.8571428571428571,0.8571428571428571,0.8571428571428571,14.0,14.0,0.927170868347339
6,625,0.5263157894736842,0.5714285714285714,19.0,16.0,0.8577524893314367
7,0.6346153846153846,0.7021276595744681,0.6666666666666666,47.0,52.0,0.8304078014184397
avg / total,0.7416358298270943,0.7365269461077845,0.7321475596924699,167.0,167.0,0.9270680196493242
,,,,,,
7,precision,recall,f1-score,support,pred,AUC
0,0.7894736842105263,0.8333333333333334,0.8108108108108109,36.0,38.0,0.9624524714828897
1,0.8,0.8888888888888888,0.8421052631578948,36.0,40.0,0.9672581326573721
2,0.8095238095238095,0.68,0.7391304347826089,25.0,21.0,0.9372262773722629
3,0.9019607843137255,0.92,0.9108910891089109,50.0,51.0,0.9830120481927711
4,0.8333333333333334,0.5263157894736842,0.6451612903225806,19.0,12.0,0.9304511278195489
5,0.6486486486486487,0.75,0.6956521739130435,32.0,37.0,0.9501404494382022
6,0.8205128205128205,0.8648648648648649,0.8421052631578947,37.0,39.0,0.983804415102125
7,0.6557377049180327,625,0.64,64.0,61.0,0.8555186170212766
avg / total,0.7741587446460836,0.7725752508361204,0.7697813471775006,299.0,299.0,0.9547640087119512
,,,,,,
10,precision,recall,f1-score,support,pred,AUC
0,0.8023255813953488,0.9324324324324325,0.8625,74.0,86.0,0.9889077939925397
1,0.859375,0.9016393442622951,0.88,61.0,64.0,0.9912260447933502
2,0.7380952380952381,0.7380952380952381,0.7380952380952381,42.0,42.0,0.97223113964687
3,0.8873239436619719,0.9130434782608695,0.9,69.0,71.0,0.9955966992580265
4,0.7843137254901961,0.9302325581395349,0.851063829787234,43.0,51.0,0.9864341085271318
5,0.7611940298507462,0.8225806451612904,0.7906976744186047,62.0,67.0,0.9668121442125237
6,0.7352941176470589,0.8620689655172413,0.7936507936507937,58.0,68.0,0.9603327706775984
7,0.7631578947368421,0.3717948717948718,0.5000000000000001,78.0,38.0,0.8789260861388
avg / total,0.7948916114902662,0.7967145790554415,0.7828660092947651,487.0,487.0,0.9739064910314104
,,,,,,
13,precision,recall,f1-score,support,pred,AUC
0,0.911504424778761,0.9196428571428571,0.9155555555555556,112.0,113.0,0.9909200968523002
1,0.8131868131868132,0.9024390243902439,0.8554913294797688,82.0,91.0,0.9822833789835224
2,0.717391304347826,0.5892857142857143,0.6470588235294118,56.0,46.0,0.956497931370163
3,0.8372093023255814,0.935064935064935,0.8834355828220859,77.0,86.0,0.9939883438116656
4,0.7301587301587301,0.7540983606557377,0.7419354838709677,61.0,63.0,0.975297166356825
5,0.7211538461538461,0.8333333333333334,0.7731958762886597,90.0,104.0,0.9579365079365079
6,0.7746478873239436,0.7432432432432432,0.7586206896551724,74.0,71.0,0.9389398185531753
7,0.5362318840579711,0.4065934065934066,0.4625,91.0,69.0,0.794204889313585
avg / total,0.7604563256358691,0.7698289269051322,0.7620893773734091,643.0,643.0,0.9606557105160318
,,,,,,
15,precision,recall,f1-score,support,pred,AUC
0,0.8642857142857143,0.8897058823529411,0.8768115942028986,136.0,140.0,0.9760013301803133
1,0.8617021276595744,0.8526315789473684,0.8571428571428572,95.0,94.0,0.9674311169773965
2,0.7962962962962963,0.6615384615384615,0.7226890756302522,65.0,54.0,0.9494702901888532
3,0.8846153846153846,0.8625,0.8734177215189874,80.0,78.0,0.9911753445635528
4,0.8076923076923077,0.863013698630137,0.8344370860927152,73.0,78.0,0.9885014528850146
5,0.7521367521367521,0.8461538461538461,0.7963800904977375,104.0,117.0,0.9669194080958787
6,0.7078651685393258,0.7590361445783133,0.7325581395348838,83.0,89.0,0.9552734012974976
7,0.5421686746987951,0.4639175257731959,0.5,97.0,83.0,0.8523552486546068
avg / total,0.7782537249895151,0.781718963165075,0.7783941584660017,733.0,733.0,0.964593143939827
,,,,,,
17,precision,recall,f1-score,support,pred,AUC
0,0.8363636363636363,0.8903225806451613,0.8625,155.0,165.0,0.9822631048387097
1,0.8090909090909091,0.8811881188118812,0.8436018957345973,101.0,110.0,0.9745341969355437
2,0.75,0.6986301369863014,0.7234042553191489,73.0,68.0,0.956798087504269
3,0.8260869565217391,0.926829268292683,0.8735632183908046,82.0,92.0,0.9938767830876064
4,0.8676470588235294,0.7468354430379747,0.8027210884353742,79.0,68.0,0.9688848030549467
5,0.7424242424242424,0.8521739130434782,0.7935222672064777,115.0,132.0,0.963913043478261
6,0.7701149425287356,0.7528089887640449,0.7613636363636362,89.0,87.0,0.9465416812553713
7,0.5342465753424658,0.38613861386138615,0.4482758620689656,101.0,73.0,0.8198347932775987
avg / total,0.7676298307041777,0.7761006289308177,0.7686028156427759,795.0,795.0,0.9625050998208705
,,,,,,
20,precision,recall,f1-score,support,pred,AUC
0,0.8440860215053764,0.8820224719101124,0.8626373626373626,178.0,186.0,0.9793268283067219
1,0.8099173553719008,0.9074074074074074,0.8558951965065502,108.0,121.0,0.9785342371549268
2,0.7571428571428571,0.6625,0.7066666666666666,80.0,70.0,0.9359015345268542
3,0.8390804597701149,0.8795180722891566,0.8588235294117647,83.0,87.0,0.9924524800098984
4,0.8117647058823529,0.8214285714285714,0.8165680473372781,84.0,85.0,0.9750734484024972
5,0.7202797202797203,0.8046875,0.7601476014760147,128.0,143.0,0.9643168852179836
6,0.6770833333333334,0.6842105263157895,0.6806282722513088,95.0,96.0,0.9403554518630344
7,0.581081081081081,0.4056603773584906,0.4777777777777778,106.0,74.0,0.8026791953678747
avg / total,0.7589733685518023,0.7668213457076566,0.7598567950350903,862.0,862.0,0.9588889948451428
